                                                                                                                                            29 Dec 2011 14:13:52
Facility-Facility1-To-Satellite-Satellite11:  Access RtAsc - Decl and Range Az El


       Time (UTCG)          Right Ascen (deg)    Declination (deg)    Right Ascen (HMS)    Declination (DMS)    Azimuth (deg)    Elevation (deg)     Range (km) 
------------------------    -----------------    -----------------    -----------------    -----------------    -------------    ---------------    ------------
20 Aug 2012 07:25:46.339           306.966241           -47.632229      20:27:51.8979 E      47:37:56.0233 S       195.463556           0.000107     7823.370954
20 Aug 2012 07:26:46.000           310.124392           -46.587452      20:40:29.8541 E      46:35:14.8266 S       193.865849           1.567912     7601.098313
20 Aug 2012 07:27:46.000           313.332109           -45.448824      20:53:19.7061 E      45:26:55.7669 S       192.160533           3.183169     7380.564131
20 Aug 2012 07:28:46.000           316.572724           -44.217085      21:06:17.4538 E      44:13:01.5065 S       190.345387           4.836453     7163.723223
20 Aug 2012 07:29:46.000           319.847595           -42.887090      21:19:23.4228 E      42:53:13.5226 S       188.408201           6.526313     6951.327394
20 Aug 2012 07:30:46.000           323.158179           -41.453606      21:32:37.9629 E      41:27:12.9804 S       186.335544           8.250205     6744.200356
20 Aug 2012 07:31:46.000           326.505956           -39.911465      21:46:01.4295 E      39:54:41.2752 S       184.112771          10.004166     6543.241225
20 Aug 2012 07:32:46.000           329.892347           -38.255776      21:59:34.1632 E      38:15:20.7924 S       181.724100          11.782419     6349.426436
20 Aug 2012 07:33:46.000           333.318594           -36.482211      22:13:16.4625 E      36:28:55.9607 S       179.152818          13.576920     6163.810424
20 Aug 2012 07:34:46.000           336.785670           -34.587375      22:27:08.5609 E      34:35:14.5496 S       176.381640          15.376864     5987.521459
20 Aug 2012 07:35:46.000           340.294144           -32.569259      22:41:10.5944 E      32:34:09.3319 S       173.393328          17.168171     5821.755183
20 Aug 2012 07:36:46.000           343.844053           -30.427777      22:55:22.5727 E      30:25:39.9988 S       170.171609          18.933021     5667.761792
20 Aug 2012 07:37:46.000           347.434763           -28.165371      23:09:44.3431 E      28:09:55.3358 S       166.702503          20.649505     5526.827840
20 Aug 2012 07:38:46.000           351.064861           -25.787602      23:24:15.5667 E      25:47:15.3674 S       162.976032          22.291558     5400.249049
20 Aug 2012 07:39:46.000           354.732033           -23.303724      23:38:55.6879 E      23:18:13.4054 S       158.988379          23.829271     5289.297142
20 Aug 2012 07:40:46.000           358.432950           -20.727118      23:53:43.9079 E      20:43:37.6243 S       154.744306          25.229761     5195.179310
20 Aug 2012 07:41:46.000             2.163236           -18.075468      00:08:39.1766 E      18:04:31.6833 S       150.259481          26.458724     5118.991159
20 Aug 2012 07:42:46.000             5.917407           -15.370646      00:23:40.1776 E      15:22:14.3268 S       145.562332          27.482628     5061.668926
20 Aug 2012 07:43:46.000             9.688915           -12.638169      00:38:45.3396 E      12:38:17.4095 S       140.694692          28.271450     5023.942240
20 Aug 2012 07:44:46.000            13.470186            -9.906285      00:53:52.8448 E      09:54:22.6269 S       135.710801          28.801545     5006.294644
20 Aug 2012 07:45:46.000            17.252774            -7.204677      01:09:00.6658 E      07:12:16.8372 S       130.674268          29.058181     5008.935229
20 Aug 2012 07:46:46.000            21.027491            -4.562995      01:24:06.5979 E      04:33:46.7825 S       125.653397          29.037181     5031.785949
20 Aug 2012 07:47:46.000            24.784660            -2.009306      01:39:08.3183 E      02:00:33.5008 S       120.715495          28.745305     5074.486315
20 Aug 2012 07:48:46.000            28.514320             0.431262      01:54:03.4369 E      00:25:52.5424 N       115.921475          28.199288     5136.414256
20 Aug 2012 07:49:46.000            32.206530             2.737604      02:08:49.5671 E      02:44:15.3726 N       111.321604          27.423768     5216.721634
20 Aug 2012 07:50:46.000            35.851589             4.893281      02:23:24.3814 E      04:53:35.8126 N       106.953220          26.448595     5314.377978
20 Aug 2012 07:51:46.000            39.440327             6.886777      02:37:45.6784 E      06:53:12.3988 N       102.840285          25.306040     5428.219988
20 Aug 2012 07:52:46.000            42.964282             8.711333      02:51:51.4278 E      08:42:40.7989 N        98.994554          24.028358     5556.998984
20 Aug 2012 07:53:46.000            46.415913            10.364524      03:05:39.8192 E      10:21:52.2848 N        95.417616          22.645924     5699.425940
20 Aug 2012 07:54:46.000            49.788709            11.847629      03:19:09.2901 E      11:50:51.4644 N        92.103323          21.186045     5854.208932
20 Aug 2012 07:55:46.000            53.077259            13.164919      03:32:18.5421 E      13:09:53.7066 N        89.040149          19.672360     6020.082554
20 Aug 2012 07:56:46.000            56.277303            14.322944      03:45:06.5528 E      14:19:22.5984 N        86.213173          18.124686     6195.831502
20 Aug 2012 07:57:46.000            59.385702            15.329870      03:57:32.5685 E      15:19:47.5315 N        83.605696          16.559197     6380.305218
20 Aug 2012 07:58:46.000            62.400390            16.194897      04:09:36.0936 E      16:11:41.6288 N        81.200399          14.988766     6572.427734
20 Aug 2012 07:59:46.000            65.320283            16.927781      04:21:16.8679 E      16:55:40.0118 N        78.980167          13.423416     6771.201487
20 Aug 2012 08:00:46.000            68.145198            17.538460      04:32:34.8475 E      17:32:18.4568 N        76.928594          11.870760     6975.709646
20 Aug 2012 08:01:46.000            70.875731            18.036765      04:43:30.1754 E      18:02:12.3550 N        75.030298          10.336438     7185.113729
20 Aug 2012 08:02:46.000            73.513144            18.432215      04:54:03.1545 E      18:25:55.9750 N        73.271076           8.824498     7398.650519
20 Aug 2012 08:03:46.000            76.059252            18.733878      05:04:14.2206 E      18:44:01.9607 N        71.637948           7.337731     7615.627681
20 Aug 2012 08:04:46.000            78.516319            18.950282      05:14:03.9165 E      18:57:01.0170 N        70.119144           5.877940     7835.418790
20 Aug 2012 08:05:46.000            80.886954            19.089372      05:23:32.8689 E      19:05:21.7406 N        68.704043           4.446174     8057.458126
20 Aug 2012 08:06:46.000            83.174028            19.158489      05:32:41.7667 E      19:09:30.5589 N        67.383099           3.042901     8281.235480
20 Aug 2012 08:07:46.000            85.380595            19.164374      05:41:31.3429 E      19:09:51.7447 N        66.147744           1.668159     8506.291354
20 Aug 2012 08:08:46.000            87.509822            19.113191      05:50:02.3572 E      19:06:47.4860 N        64.990303           0.321671     8732.211384
20 Aug 2012 08:09:00.521            88.013854            19.092869      05:52:03.3250 E      19:05:34.3274 N        64.721113           0.000000     8786.973455

       Time (UTCG)          Right Ascen (deg)    Declination (deg)    Right Ascen (HMS)    Declination (DMS)    Azimuth (deg)    Elevation (deg)     Range (km) 
------------------------    -----------------    -----------------    -----------------    -----------------    -------------    ---------------    ------------
20 Aug 2012 11:24:28.337           314.475674           -16.494299      20:57:54.1616 E      16:29:39.4780 S       248.314810           0.000000     7435.348589
20 Aug 2012 11:25:28.000           316.520503           -14.991625      21:06:04.9207 E      14:59:29.8498 S       248.264250           2.289620     7184.427167
20 Aug 2012 11:26:28.000           318.633754           -13.405665      21:14:32.1010 E      13:24:20.3926 S       248.203171           4.692155     6934.853833
20 Aug 2012 11:27:28.000           320.811868           -11.739664      21:23:14.8484 E      11:44:22.7887 S       248.129807           7.203998     6688.701986
20 Aug 2012 11:28:28.000           323.063713            -9.988313      21:32:15.2911 E      09:59:17.9271 S       248.041724           9.834997     6446.686356
20 Aug 2012 11:29:28.000           325.399302            -8.146153      21:41:35.8325 E      08:08:46.1495 S       247.935966          12.595750     6209.594954
20 Aug 2012 11:30:28.000           327.829931            -6.207748      21:51:19.1833 E      06:12:27.8911 S       247.808896          15.497516     5978.296746
20 Aug 2012 11:31:28.000           330.368319            -4.167955      22:01:28.3966 E      04:10:04.6377 S       247.655990          18.552044     5753.749010
